"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BPL","EQ","01-Jan-2018","        111.15","        111.55","        113.55","        107.95","        109.00","        108.85","        110.45","     933006","           103051337.55","       5942","     289171","         30.99"
"BPL","EQ","02-Jan-2018","        108.85","        109.90","        109.90","        103.00","        105.30","        104.80","        105.73","     642459","            67925549.00","       5244","     237048","         36.90"
"BPL","EQ","03-Jan-2018","        104.80","        105.40","        114.70","        105.40","        112.70","        112.20","        111.15","    2332787","           259285587.70","      17693","     463972","         19.89"
"BPL","EQ","04-Jan-2018","        112.20","        112.90","        113.55","        108.30","        110.45","        110.65","        111.48","     762851","            85040631.10","       6203","     247698","         32.47"
"BPL","EQ","05-Jan-2018","        110.65","        111.00","        113.50","        109.60","        110.10","        110.20","        110.96","     619883","            68782842.15","       5257","     150119","         24.22"
"BPL","EQ","08-Jan-2018","        110.20","        112.20","        117.25","        110.95","        113.20","        114.00","        114.35","    2059811","           235544969.85","      14426","     406405","         19.73"
"BPL","EQ","09-Jan-2018","        114.00","        114.30","        114.50","        110.00","        110.30","        110.65","        111.87","     569520","            63713414.00","       6673","     226188","         39.72"
"BPL","EQ","10-Jan-2018","        110.65","        110.80","        114.50","        109.10","        111.75","        111.75","        111.76","     963204","           107648148.35","       7644","     162457","         16.87"
"BPL","EQ","11-Jan-2018","        111.75","        111.75","        113.90","        110.00","        110.45","        110.65","        111.63","     726367","            81086207.65","       5615","     184409","         25.39"
"BPL","EQ","12-Jan-2018","        110.65","        111.40","        113.70","        108.50","        109.25","        109.35","        110.84","     613063","            67951429.45","       4495","     207564","         33.86"
"BPL","EQ","15-Jan-2018","        109.35","        110.40","        112.45","        109.15","        109.15","        109.55","        110.31","     441273","            48675019.10","       4930","     146181","         33.13"
"BPL","EQ","16-Jan-2018","        109.55","        110.00","        111.00","        102.30","        102.65","        102.95","        106.09","     682990","            72459798.20","       6954","     255549","         37.42"
"BPL","EQ","17-Jan-2018","        102.95","        103.40","        106.00","         96.65","        103.75","        103.75","        101.80","     652702","            66443639.80","       6388","     158555","         24.29"
"BPL","EQ","18-Jan-2018","        103.75","        104.80","        105.50","         96.05","         98.40","         97.75","        100.32","     563106","            56490651.90","       4859","     254667","         45.23"
"BPL","EQ","19-Jan-2018","         97.75","         98.00","        101.20","         95.60","         96.40","         96.75","         98.07","     749364","            73490115.60","       5940","     148465","         19.81"
