"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","01-Jan-2018","        263.25","        263.25","        266.30","        261.25","        261.80","        262.30","        263.26","   10461011","          2753929704.55","      44043","    6375878","         60.95"
"ITC","EQ","02-Jan-2018","        262.30","        262.60","        264.20","        260.45","        260.70","        260.75","        261.84","    5688384","          1489465051.00","      45209","    2985641","         52.49"
"ITC","EQ","03-Jan-2018","        260.75","        261.30","        262.65","        260.60","        260.95","        261.15","        261.82","   11018996","          2884992810.35","      67791","    8914265","         80.90"
"ITC","EQ","04-Jan-2018","        261.15","        260.95","        262.75","        260.60","        261.75","        261.55","        261.69","    9368913","          2451729469.95","      69338","    6998712","         74.70"
"ITC","EQ","05-Jan-2018","        261.55","        261.90","        263.50","        261.90","        263.00","        262.90","        262.50","    9211954","          2418177130.60","      62706","    6673578","         72.44"
"ITC","EQ","08-Jan-2018","        262.90","        264.00","        266.80","        263.25","        265.75","        265.60","        265.52","   14433239","          3832243909.45","     109978","   10970842","         76.01"
"ITC","EQ","09-Jan-2018","        265.60","        265.50","        272.00","        264.75","        270.25","        270.55","        269.50","   25737663","          6936322435.00","     122424","   15431052","         59.96"
"ITC","EQ","10-Jan-2018","        270.55","        273.45","        274.00","        269.05","        269.45","        269.40","        271.34","   16441299","          4461163514.85","     108628","   10648924","         64.77"
"ITC","EQ","11-Jan-2018","        269.40","        269.50","        271.00","        268.10","        269.95","        269.80","        269.82","   11287447","          3045589736.25","      82350","    8107309","         71.83"
"ITC","EQ","12-Jan-2018","        269.80","        270.25","        271.35","        266.15","        267.15","        267.55","        268.58","    8179762","          2196889040.80","      66960","    5036314","         61.57"
"ITC","EQ","15-Jan-2018","        267.55","        268.00","        271.10","        267.00","        267.75","        267.60","        268.71","   10538330","          2831776794.40","     105293","    7545321","         71.60"
"ITC","EQ","16-Jan-2018","        267.60","        268.20","        268.70","        260.80","        262.60","        261.70","        263.52","   12935712","          3408816014.20","     117895","    9467052","         73.19"
"ITC","EQ","17-Jan-2018","        261.70","        262.00","        267.00","        259.55","        266.40","        266.05","        263.83","   16375659","          4320376055.95","     113452","   12109086","         73.95"
