"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","01-Jan-2018","        195.20","        195.20","        195.70","        192.00","        192.00","        192.35","        193.45","    5899565","          1141243977.35","      21687","    3617168","         61.31"
"ONGC","EQ","02-Jan-2018","        192.35","        195.75","        197.50","        195.00","        196.40","        196.85","        196.33","   12878378","          2528405705.35","     102060","    5586009","         43.38"
"ONGC","EQ","03-Jan-2018","        196.85","        197.40","        197.40","        193.00","        193.65","        193.45","        194.48","    8032715","          1562229103.20","      58365","    4801332","         59.77"
"ONGC","EQ","04-Jan-2018","        193.45","        195.30","        200.00","        195.20","        198.75","        199.50","        197.77","   12740860","          2519746543.50","      98978","    6858925","         53.83"
"ONGC","EQ","05-Jan-2018","        199.50","        200.95","        200.95","        196.30","        198.00","        198.45","        198.14","    6812787","          1349862767.90","      51246","    3468787","         50.92"
"ONGC","EQ","08-Jan-2018","        198.45","        198.00","        199.90","        196.70","        197.05","        197.40","        197.84","    4858711","           961223762.35","      51536","    2994508","         61.63"
"ONGC","EQ","09-Jan-2018","        197.40","        198.50","        199.00","        196.50","        196.65","        197.00","        197.57","    4598757","           908561372.05","      50324","    2716189","         59.06"
"ONGC","EQ","10-Jan-2018","        197.00","        198.30","        200.00","        197.25","        198.00","        197.90","        198.46","    7673209","          1522837261.65","      45880","    3804248","         49.58"
"ONGC","EQ","11-Jan-2018","        197.90","        198.00","        199.70","        197.00","        197.55","        197.90","        197.97","    5701402","          1128727464.90","      43980","    3086195","         54.13"
"ONGC","EQ","12-Jan-2018","        197.90","        198.90","        201.95","        197.65","        200.05","        200.75","        199.83","    9291346","          1856646869.55","      76986","    4660431","         50.16"
"ONGC","EQ","15-Jan-2018","        200.75","        199.50","        200.35","        196.00","        196.65","        196.60","        197.78","    4500523","           890129158.85","      39960","    2251742","         50.03"
"ONGC","EQ","16-Jan-2018","        196.60","        197.60","        198.25","        195.00","        197.25","        197.20","        196.48","    5778244","          1135333489.70","      69368","    3502322","         60.61"
"ONGC","EQ","17-Jan-2018","        197.20","        196.30","        198.65","        194.10","        195.30","        195.70","        196.04","    6306388","          1236277927.85","      43569","    3693945","         58.57"
"ONGC","EQ","18-Jan-2018","        195.70","        196.40","        197.50","        193.25","        194.75","        194.10","        195.32","    6247782","          1220343658.60","      56784","    4076853","         65.25"
