"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","01-Jan-2018","        921.05","        922.70","        922.70","        907.50","        909.50","        909.75","        913.43","    4321686","          3947568943.55","      61538","    2615951","         60.53"
"RELIANCE","EQ","02-Jan-2018","        909.75","        913.00","        919.55","        906.40","        911.50","        911.15","        912.92","    4342815","          3964649169.65","      63346","    1835805","         42.27"
"RELIANCE","EQ","03-Jan-2018","        911.15","        925.00","        926.00","        913.05","        915.50","        914.80","        920.10","    6175312","          5681898482.50","     101162","    2679871","         43.40"
"RELIANCE","EQ","04-Jan-2018","        914.80","        918.15","        921.80","        915.70","        920.50","        920.30","        919.08","    4118581","          3785310187.15","      92195","    2666331","         64.74"
"RELIANCE","EQ","05-Jan-2018","        920.30","        921.80","        926.90","        920.25","        923.00","        923.25","        923.12","    3401905","          3140379429.35","      59095","    1641153","         48.24"
"RELIANCE","EQ","08-Jan-2018","        923.25","        926.10","        931.00","        923.50","        926.60","        928.55","        927.42","    4035417","          3742538282.25","      71254","    2338783","         57.96"
"RELIANCE","EQ","09-Jan-2018","        928.55","        928.15","        943.90","        924.00","        940.00","        940.95","        938.57","    6534997","          6133531767.75","     130260","    2793438","         42.75"
"RELIANCE","EQ","10-Jan-2018","        940.95","        943.00","        947.40","        935.50","        941.50","        942.35","        942.13","    5361502","          5051241312.15","      88179","    3071989","         57.30"
"RELIANCE","EQ","11-Jan-2018","        942.35","        941.80","        942.65","        935.00","        936.90","        937.75","        939.68","    3588727","          3372263778.65","      61745","    2236859","         62.33"
"RELIANCE","EQ","12-Jan-2018","        937.75","        943.00","        952.80","        938.25","        946.60","        949.00","        946.82","    6890028","          6523589663.40","     120871","    3367729","         48.88"
"RELIANCE","EQ","15-Jan-2018","        949.00","        950.00","        958.50","        945.20","        947.60","        949.15","        952.57","    5084113","          4842989337.35","      67051","    3050153","         59.99"
"RELIANCE","EQ","16-Jan-2018","        949.15","        947.70","        947.70","        920.00","        923.80","        922.95","        930.84","    4948895","          4606622460.85","     112950","    2257272","         45.61"
"RELIANCE","EQ","17-Jan-2018","        922.95","        926.00","        929.00","        907.00","        924.10","        924.50","        921.46","    6036432","          5562354161.70","     113531","    2867770","         47.51"
