,date,AAPL,AMZN,META,GOOG,IBM,INTC,MSFT,NFLX,NKE,TSLA
0,2018-01-01,41.857498,72.544502,186.889999,58.497002,156.500961,48.139999,95.010002,270.299988,68.220001,23.620667
1,2018-02-01,44.529999,75.622498,178.320007,55.2365,148.977051,49.290001,93.769997,291.380005,67.029999,22.870667
2,2018-03-01,41.945,72.366997,159.789993,51.5895,146.682602,52.080002,91.269997,295.350006,66.440002,17.742001
3,2018-04-01,41.314999,78.306503,172.0,50.866501,138.585083,51.619999,93.519997,312.459991,68.389999,19.593332
4,2018-05-01,46.717499,81.481003,191.779999,54.2495,135.095596,55.200001,98.839996,351.600006,71.800003,18.982
5,2018-06-01,46.2775,84.989998,194.320007,55.782501,133.556412,49.709999,98.610001,391.429993,79.68,22.863333
6,2018-07-01,47.572498,88.872002,172.580002,60.862999,138.556412,48.099998,106.080002,337.450012,76.910004,19.875999
7,2018-08-01,56.907501,100.635498,175.729996,60.9095,140.038239,48.43,112.330002,367.679993,82.199997,20.110666
8,2018-09-01,56.435001,100.150002,164.460007,59.6735,144.560226,47.290001,114.370003,374.130005,84.720001,17.651333
9,2018-10-01,54.715,79.900497,151.789993,53.838501,110.353729,46.880001,106.809998,301.779999,75.040001,22.488001
10,2018-11-01,44.645,84.508499,140.610001,54.7215,118.80497,49.310001,110.889999,286.130005,75.120003,23.365334
11,2018-12-01,39.435001,75.098503,131.089996,51.780499,108.671127,46.93,101.57,267.660004,74.139999,22.186666
12,2019-01-01,41.610001,85.936501,166.690002,55.818501,128.508606,47.119999,104.43,339.5,81.879997,20.468
13,2019-02-01,43.287498,81.991501,161.449997,55.995998,132.05545,52.959999,112.029999,358.100006,85.730003,21.325333
14,2019-03-01,47.487499,89.037498,166.690002,58.665501,134.894836,53.700001,117.940002,356.559998,84.209999,18.657333
15,2019-04-01,50.1675,96.325996,193.399994,59.424,134.101334,51.040001,130.600006,370.540009,87.830002,15.912667
16,2019-05-01,43.767502,88.753502,177.470001,55.181499,121.405357,44.040001,123.68,343.279999,77.139999,12.344
17,2019-06-01,49.48,94.681503,193.0,54.045502,131.835571,47.869999,133.960007,367.320007,83.949997,14.897333
18,2019-07-01,53.259998,93.338997,194.229996,60.834,141.72084,50.549999,136.270004,322.98999,86.029999,16.107332
19,2019-08-01,52.185001,88.814499,185.669998,59.404999,129.569794,47.41,137.860001,293.75,84.5,15.040667
20,2019-09-01,55.9925,86.795502,178.080002,60.950001,139.024857,51.529999,139.029999,267.619995,93.919998,16.058001
21,2019-10-01,62.189999,88.833,191.649994,63.005501,127.848946,56.529999,143.369995,287.410004,89.550003,20.994667
22,2019-11-01,66.8125,90.040001,201.639999,65.248001,128.537292,58.049999,151.380005,314.660004,93.489998,21.996
23,2019-12-01,73.412498,92.391998,205.25,66.850998,128.145309,59.849998,157.699997,323.570007,101.309998,27.888666
24,2020-01-01,77.377502,100.435997,201.910004,71.711502,137.40918,63.93,170.229996,345.089996,96.300003,43.371334
25,2020-02-01,68.339996,94.1875,192.470001,66.966499,124.426384,55.52,162.009995,369.029999,89.379997,44.532665
26,2020-03-01,63.572498,97.486,166.800003,58.140499,106.051628,54.119999,157.710007,375.5,82.739998,34.933334
27,2020-04-01,73.449997,123.699997,204.710007,67.432999,120.038239,59.98,179.210007,419.850006,87.18,52.125332
28,2020-05-01,79.485001,122.1185,225.089996,71.445999,119.407265,62.93,183.25,419.730011,98.580002,55.666668
29,2020-06-01,91.199997,137.940994,227.070007,70.680496,115.458893,59.830002,203.509995,455.040009,98.050003,71.987335
30,2020-07-01,106.260002,158.233994,253.669998,74.148003,117.533463,47.73,205.009995,488.880005,97.610001,95.384003
31,2020-08-01,129.039993,172.548004,293.200012,81.709,117.887192,50.950001,225.529999,529.559998,111.889999,166.106674
32,2020-09-01,115.809998,157.436493,261.899994,73.480003,116.319313,51.779999,210.330002,500.029999,125.540001,143.003326
33,2020-10-01,108.860001,151.807495,263.109985,81.050499,106.749519,44.279999,202.470001,475.73999,120.080002,129.346664
34,2020-11-01,119.050003,158.401993,276.970001,88.037003,118.087952,48.349998,214.070007,490.700012,134.699997,189.199997
35,2020-12-01,132.690002,162.846497,273.160004,87.594002,120.34417,49.82,222.419998,540.72998,141.470001,235.223328
36,2021-01-01,131.960007,160.309998,258.329987,91.787003,113.871895,55.509998,231.960007,532.390015,133.589996,264.51001
37,2021-02-01,121.260002,154.6465,257.619995,101.843002,113.699806,60.779999,232.380005,538.849976,134.779999,225.166672
38,2021-03-01,122.150002,154.703995,294.529999,103.431503,127.39962,64.0,235.770004,521.659973,132.889999,222.643326
39,2021-04-01,131.460007,173.371002,325.079987,120.505997,135.640533,57.529999,252.179993,513.469971,132.619995,236.479996
40,2021-05-01,124.610001,161.153503,328.730011,120.578003,137.418732,57.119999,249.679993,502.809998,136.460007,208.406662
41,2021-06-01,136.960007,172.007996,347.709991,125.316002,140.143402,56.139999,270.899994,528.210022,154.490005,226.566666
42,2021-07-01,145.860001,166.379501,356.299988,135.220993,134.761002,53.720001,284.910004,517.570007,167.509995,229.066666
43,2021-08-01,151.830002,173.539505,379.380005,145.462006,134.168259,54.060001,301.880005,569.190002,164.740005,245.240005
44,2021-09-01,141.5,164.251999,339.390015,133.265503,132.820267,53.279999,281.920013,610.340027,145.229996,258.493347
45,2021-10-01,149.800003,168.621506,323.570007,148.270493,119.598473,49.0,331.619995,690.309998,167.289993,371.333344
46,2021-11-01,165.300003,175.3535,324.459991,142.451996,117.099998,49.200001,330.589996,641.900024,169.240005,381.58667
47,2021-12-01,177.570007,166.716995,336.350006,144.679504,133.660004,51.5,336.320007,602.440002,166.669998,352.26001
48,2022-01-01,174.779999,149.573502,313.26001,135.698502,133.570007,48.82,310.980011,427.140015,148.070007,312.23999
49,2022-02-01,165.119995,153.563004,211.029999,134.891006,122.510002,47.700001,298.790009,394.519989,136.550003,290.143341
50,2022-03-01,174.610001,162.997498,222.360001,139.649506,130.020004,49.560001,308.309998,374.589996,134.559998,359.200012
51,2022-04-01,157.649994,124.281502,200.470001,114.966499,132.210007,43.59,277.519989,190.360001,124.699997,290.253326
52,2022-05-01,148.839996,120.209503,193.639999,114.039001,138.839996,44.419998,271.869995,197.440002,118.849998,252.753326
53,2022-06-01,136.720001,106.209999,161.25,109.372498,141.190002,37.41,256.829987,174.869995,102.199997,224.473328
54,2022-07-01,162.509995,134.949997,159.100006,116.639999,130.789993,36.310001,280.73999,224.899994,114.919998,297.149994
55,2022-08-01,157.220001,126.769997,162.929993,109.150002,128.449997,31.92,261.470001,223.559998,106.449997,275.609985
56,2022-09-01,138.199997,113.0,135.679993,96.150002,118.809998,25.77,232.899994,235.440002,83.120003,265.25
57,2022-10-01,153.339996,102.440002,93.160004,94.660004,138.289993,28.43,232.130005,291.880005,92.68,227.539993
58,2022-11-01,148.029999,96.540001,118.099998,101.449997,148.899994,30.07,255.139999,305.529999,109.690002,194.699997
59,2022-12-01,129.929993,84.0,120.339996,88.730003,140.889999,26.43,239.820007,294.880005,117.010002,123.18
60,2023-01-01,144.289993,103.129997,148.970001,99.870003,134.729996,28.26,247.809998,353.859985,127.330002,173.220001
