,date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,BAJAJ-AUTO.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,BERGEPAINT.BO
0,2018-01-01,34059.988281,520.0,922.0,936.5,562.400024,487.91684,312.0,331.0,606.0,3326.600098,7880.0,850.0,63.0,764.0,20169.050781,187.593796,314.0,656.400024,323.25,145.0,277.700012
1,2018-01-02,33913.550781,518.599976,915.0,928.549988,563.349976,487.549622,310.200012,323.100006,616.900024,3314.850098,7870.299805,855.0,60.5,786.400024,19954.949219,187.687546,312.5,650.0,318.0,145.100006,270.799988
2,2018-01-03,33929.609375,517.5,924.450012,937.0,560.049988,479.195831,310.0,329.75,610.0,3299.649902,7887.0,861.0,59.5,783.799988,19813.949219,186.168793,311.700012,645.099976,327.0,141.100006,264.399994
3,2018-01-04,33912.488281,511.0,919.0,929.0,564.950012,477.359833,315.0,334.200012,607.099976,3243.0,7886.850098,855.0,60.5,775.0,19749.949219,185.625046,316.5,643.299988,327.950012,143.5,263.450012
4,2018-01-05,34021.269531,507.649994,920.5,929.5,562.0,481.03183,313.25,339.200012,618.450012,3272.699951,7860.0,892.5,66.25,767.0,19700.0,187.500046,316.799988,648.400024,322.950012,147.350006,269.399994
5,2018-01-08,34216.328125,507.5,924.099976,932.5,563.150024,491.129822,313.0,340.0,615.0,3316.0,7860.0,912.0,64.5,765.0,19840.0,187.500046,338.0,664.0,328.0,145.0,266.25
6,2018-01-09,34431.609375,520.0,929.049988,936.0,565.0,475.523834,315.0,341.899994,616.0,3276.0,7946.700195,925.099976,63.700001,769.450012,19960.0,185.250046,333.100006,640.0,326.0,147.399994,264.200012
7,2018-01-10,34538.78125,524.950012,945.0,932.5,566.900024,471.851837,312.5,337.600006,614.400024,3238.550049,7780.0,935.0,63.0,771.5,19842.949219,189.15004,341.100006,648.0,325.0,144.0,265.0
8,2018-01-11,34471.480469,526.5,941.75,930.0,561.950012,465.471741,312.0,334.5,616.799988,3328.0,7849.649902,918.0,61.799999,768.0,19770.150391,186.075043,340.0,634.150024,320.049988,142.0,269.850006
9,2018-01-12,34578.988281,544.5,942.0,933.275024,560.0,476.395935,309.450012,336.549988,613.0,3205.0,7870.100098,907.0,61.950001,750.0,19940.400391,185.625046,343.149994,630.0,315.0,140.0,269.899994
10,2018-01-15,34687.210938,539.25,950.200012,932.5,555.75,468.17984,319.299988,341.100006,613.0,3175.100098,7800.0,908.799988,61.900002,760.0,19807.199219,188.250046,343.950012,634.099976,312.75,137.0,268.0
11,2018-01-16,34877.710938,540.0,949.0,948.625,561.549988,467.720825,329.5,339.0,610.299988,3164.0,7758.100098,925.0,63.0,741.099976,19890.0,183.750046,334.0,630.400024,313.799988,139.0,265.450012
12,2018-01-17,34753.800781,559.0,925.0,950.0,561.0,451.74765,330.0,328.600006,608.0,3189.0,7779.299805,903.0,59.5,720.0,19891.099609,182.96254,336.0,617.0,313.100006,137.0,258.100006
13,2018-01-18,35366.449219,574.5,930.0,960.0,599.700012,461.753845,350.0,334.100006,608.0,3219.75,7801.0,885.25,62.650002,737.0,20000.0,177.975037,350.0,632.0,315.0,143.5,256.0
14,2018-01-19,35339.109375,574.450012,922.0,967.5,586.700012,447.295349,346.600006,326.799988,604.950012,3227.899902,7757.5,899.900024,60.099998,719.0,19850.0,174.375046,348.0,598.5,309.0,136.5,253.0
15,2018-01-22,35613.96875,570.849976,948.5,980.0,591.0,452.573853,353.0,331.5,604.299988,3207.0,7692.200195,898.0,60.849998,708.0,19999.0,175.893799,349.0,617.0,314.0,140.0,247.100006
