Date,^NSEI,UPL.NS,ICICIBANK.NS,WIPRO.NS,TECHM.NS,ASIANPAINT.NS,EICHERMOT.NS,NTPC.NS,LT.NS,COALINDIA.NS,GRASIM.NS,BHEL.NS,DABUR.NS,COLPAL.NS,MRF.NS,GAIL.NS,HAVELLS.NS,POONAWALLA.NS,BOSCHLTD.NS,UNIONBANK.NS,GODREJCP.NS
01-01-2018,10456,507.8666687,314,233.625061,501.1000061,1163,3039.995117,147.5416718,1261,263,1165.050049,92.65000153,351,1095.5,72572,125.7000275,566.7000122,161.8500061,20165,145.1000061,671.9666748
02-01-2018,10477.5498,505.0333252,310.9500122,236.887558,503.5,1146,2992.5,147.3333282,1267,268,1148.5,96.75,351,1103,72305,126.0000305,555,159.1000061,19850,145.1000061,660
03-01-2018,10482.65039,517.9666748,312.5,240.3000641,516.0999756,1149,2885,149.5833282,1255.900024,271,1134,99.19999695,350,1100.75,71680,124.2000275,551,165.9499969,19799,142,652.0666504
04-01-2018,10469.40039,519.9333496,314.9500122,232.575058,519.5,1149,2882.570068,147.875,1284.949951,272.8999939,1134.550049,98.84999847,354.1499939,1106,71499,123.5000305,558,166.6000061,19790,143.3000031,660
05-01-2018,10534.25,523.7333374,314.4500122,234.750061,521,1178,2879.699951,147.75,1325,278.5,1176.699951,101.0500031,356,1090,71390,124.7500305,565,172.75,19700,148.6000061,659.9666748
08-01-2018,10591.7002,518.833313,313.5,232.500061,520.7000122,1190,2940,148,1316.5,279,1213,103.1500015,358.2000122,1110,72900,125.0000305,566.5,174.3500061,19700,146.1000061,665.2999878
09-01-2018,10645.09961,523.333313,314.7999878,234.450058,540,1183.099976,2920.100098,148.25,1340,299.7000122,1204.5,102.25,361,1119.349976,72965,124.3625336,561.5,168.6999969,19970,145.6499939,664.666687
10-01-2018,10652.0498,528.666687,312.5499878,237.3000641,535,1186,2862,146.8333282,1332.199951,306,1240.849976,101.0999985,359.9500122,1118,73040,125.4875336,551.75,169.6999969,19899,143.1000061,658.666687
11-01-2018,10637.0498,520.9333496,312.5,242.6625671,544,1179.900024,2810,145,1320.199951,308,1245,103.6999969,357.4500122,1121.5,72700,124.4250336,549,172.5,19838,141.6999969,656.4666748
12-01-2018,10682.5498,526,309.6000061,240.750061,550,1187,2852,144.75,1325.5,309,1247.5,104,359.7999878,1123.949951,72310,124.6250305,549.5,176,19954.69922,140,659.9333496
