,Days to Maturity,Implied Volatility,Historical Volatility
0,55,0.13916479509474255,0.1362865491071451
1,34,0.18518568412977585,0.2983701746829015
2,59,0.4988796795424446,0.11650820248410353
3,364,0.1444971464800961,0.1854164616279736
4,55,0.12132459246586288,0.12669911217323954
5,89,0.11699135875271094,0.13383718248769327
6,1,0.4430617274297582,0.0
7,48,0.13749504728250983,0.19411671934823363
8,76,0.21217622386465532,0.15000034846660493
9,24,0.16340971455707198,0.11059595961217863
10,34,0.11100271304529002,0.1508571170249311
11,69,0.32040711294257834,0.15249066420461607
12,29,0.3929701055820466,0.1879113250456231
13,48,0.11091315824313845,0.15212657865092077
14,65,0.1532609539021872,0.1343013057119048
15,36,0.12454857893208882,0.10914734424993898
16,29,0.24366963838706557,0.11598379474992501
17,139,0.13607613941230012,0.13660702034732775
18,7,0.1288923670995534,0.0410466424102998
19,17,0.7149289517016963,0.1985693057818345
20,50,0.2548617133217972,0.16295319826735524
21,34,0.18035570557239905,0.11139024263517708
22,48,0.4523543234816186,0.19643955948896638
23,1694,0.2163267014846064,0.21890638056522144
24,3,0.10217000386829647,0.0
25,141,0.15107057090969772,0.191741561061369
26,6,0.2622639282187538,0.3524717557701396
27,58,0.22132412463617782,0.13086334198535213
28,15,0.192759559137368,0.24920078200440685
29,1626,0.23079288199926035,0.21433236564629854
30,65,0.1281678933630586,0.11913214170047581
31,56,0.3786344052436573,0.1731763649120175
32,80,0.20561442260085394,0.1709197054356234
33,9,0.1770559400919076,0.089565063720433
34,37,0.24288376609382253,0.10867107444251407
35,8,0.5025377731547231,0.14059649535617053
36,20,0.40961785565764897,0.2686036636593947
37,773,0.3024708191491147,0.24917342589108632
38,22,0.14519505944306943,0.18842579182942049
39,16,0.14418707960674543,0.13539297699052688
40,3,0.21846994406042414,0.0
41,29,0.12650453392199212,0.13065026020914638
42,65,0.25735162999157984,0.10389613985447291
43,1,0.6543925684772967,0.0
44,59,0.20694819979124748,0.11442298962118844
45,10,0.46393840854359686,0.11973848021032317
46,163,0.15084350075549782,0.11201727107761608
47,10,0.13429332522026682,0.13840648871830313
48,41,0.14162121088338658,0.1536231890013456
49,17,0.23111767462438715,0.18477795136326663
50,57,0.3168231082188778,0.15258082922147045
51,8,0.18937957554956214,0.1558348720831341
52,29,0.20180149876442954,0.17717888177260288
53,23,0.13512432805358657,0.07872036252827307
54,21,0.15556627644558327,0.09074065895204078
55,9,0.25435489668741706,0.08659822938748048
56,34,0.22639574326401302,0.12734688304401595
57,30,0.150865015555342,0.17704967696483495
58,23,0.13655535300863764,0.14365483327164752
59,48,0.31156227035668993,0.16002257053139227
60,58,0.21967205641081333,0.1494370268288046
61,51,0.2661345182376974,0.1633487950042422
62,29,0.3118101209536913,0.12778912014478486
63,16,0.16643214352685473,0.17048302723316786
64,44,0.34702384686154625,0.12576318989602187
65,624,0.24731555544401015,0.16999185398172192
66,13,0.15331426703466314,0.17060322006694598
67,44,0.3139839381617712,0.2762254525445247
68,29,0.1643534924572427,0.12780359399258662
69,21,0.4756356389925791,0.08631388752207587
70,50,0.3245244896422251,0.16634613294014938
71,84,0.18268875311848784,0.15558958635679973
72,83,0.1827601928684774,0.19601977755081065
73,56,0.2636052750621576,0.2558227184928581
74,21,0.25762930423309677,0.15162205364119136
75,55,0.2744676253343325,0.15706738762379488
76,1364,0.23928625870658174,0.21311402308146954
77,31,0.27913242868518967,0.16899508457592385
78,31,0.48901485012883184,0.16461371058895732
79,35,0.20184088100850223,0.10863223651764137
80,59,0.37145023603427757,0.1936880405863862
81,28,0.22849745984365846,0.13971231167290843
82,14,0.15923560107677806,0.10678355066906078
83,1357,0.08740729914836169,0.21403238563587879
84,1611,0.11111354023711932,0.21322505424019686
85,44,0.30268183426167317,0.24269048686051076
86,21,0.16562627308621292,0.10731508014217717
87,6,0.14693740094217667,0.04470796414078971
88,177,0.1584179841339336,0.13299219975112242
89,56,0.2634451185482117,0.17918003268002064
90,143,0.4671944389317014,0.21647906809779788
91,51,0.1477575300917862,0.19802282265994162
92,239,0.2171029852258928,0.13812604775535256
93,42,0.5246575982865292,0.19606101166838463
94,43,0.3944163761520591,0.1614759820809193
95,57,0.23956689883484802,0.17818602134486444
96,49,0.1879339552168786,0.12278185792041332
97,90,0.23648929130360657,0.17201664405136882
98,1288,0.19168751959084823,0.21816247814373588
99,59,0.1896629610861171,0.16919531957335116
100,27,0.6617639928614213,0.1592329170829047
101,55,0.23149410805601972,0.2591604659163003
102,525,0.26315825604037685,0.1729814200612872
103,77,0.17722508834497744,0.17181297620925323
104,45,0.17552343543336113,0.12391728777090054
105,1302,0.23196283954801894,0.21680600110659265
106,14,0.13788395632060996,0.12761639432885172
107,27,0.1287620978673777,0.11253813625464631
108,3,0.2436533014730181,0.0
109,2,0.12273391032925517,0.0
110,59,0.2278817595125058,0.1720588237187722
111,6,0.20086160337995387,0.2953089190652202
112,42,0.429957243602101,0.17470039765430964
113,63,0.20127610325875936,0.11991674494606613
114,1494,0.17919751605811943,0.21099441081570172
115,10,0.23718177364272114,0.08025580301884234
116,7,0.17822534894231076,0.2596439816779369
117,62,0.18097887029236015,0.11939795871591914
118,30,0.1423226111822593,0.1347684044625656
119,33,0.20606907042580322,0.12401155329590209
120,24,0.23572679303301713,0.16389033731363523
121,128,0.1373137776542535,0.2001818644524279
122,323,0.07479535115266013,0.18824974519281223
123,58,0.1568172065544363,0.17432316869288542
124,24,0.5426322276207354,0.3214290950053603
125,56,0.27595136243684515,0.16884684219344573
126,42,0.30844666888525935,0.18851369504996102
127,37,0.3747436498258484,0.28602982454676185
128,85,0.19867616727978782,0.19592813044767438
129,20,0.4621947611412575,0.19350120874579294
130,22,0.2824621321313292,0.12887257705609453
131,51,0.29202747725670386,0.18234373299762255
132,69,0.2441932386824318,0.16337459451442343
133,29,0.4804939920399992,0.1879113250456231
134,745,0.3268370853093248,0.18234816510138796
135,44,0.1537999972870048,0.146864672151351
136,58,0.17051687228045054,0.17432316869288542
137,43,0.29615896627483074,0.18719377934102607
138,3,0.28841275231416386,0.0
139,86,0.22650220517087247,0.12457822091250315
140,20,0.3456558626964546,0.14609001227828355
141,1500,0.2881211691087014,0.21829180104333887
142,17,0.2217976767483386,0.14708295064539675
143,34,0.12839435385005987,0.14076729509153596
144,30,0.11270131635529149,0.11758252003873979
145,41,0.28306140070220687,0.09908105006276453
146,34,0.1803266832209573,0.20542380096165663
147,41,0.2895814138979932,0.175286674872646
148,58,0.32642195855773887,0.22945264170879276
149,1429,0.2977948282529923,0.21438574770058785
150,7,0.8156218192737983,0.07000854251616712
151,50,0.2854379935472834,0.1283972893261947
152,29,0.5016665264502301,0.19160464890598608
153,13,0.09666094701334624,0.08164334142006202
154,58,0.11578836925255129,0.10248679134677935
155,24,0.5719417162370061,0.141323454259121
156,45,0.500697104380659,0.21158911853709814
157,34,0.15445602852198329,0.1508571170249311
158,434,0.11337432116022622,0.1577154680670209
159,45,0.17642281785608058,0.20627374674613316
160,62,0.16487817982601202,0.17309650386023154
161,35,0.3049119173623036,0.12411191868875006
162,23,0.6004399385811101,0.19788415938902307
163,27,0.6428326853457087,0.21547790444321385
164,12,0.15358038918316572,0.09097388418129285
165,55,0.22816469693159597,0.17396989166258975
166,171,0.38723385921263825,0.17785957113185918
167,27,0.26341572944234687,0.11216406337664785
168,2,0.28598287758142416,0.0
169,7,0.2190400596922456,0.10432174136928762
170,31,0.32298327805635596,0.11328769054011929
171,8,0.16798488082159055,0.1872978445458919
172,288,0.16396466078805566,0.18303424059584444
173,37,0.15577947965335806,0.16042342395511566
174,48,0.2791867439347265,0.16912289605440559
175,58,0.3346486745268848,0.1645727973390389
176,48,0.3624480744851772,0.16387867506749448
177,50,0.5701962817154846,0.19741299859751038
178,1787,0.20372686720054944,0.2126385600398351
179,49,0.342576075799722,0.16664006466732473
180,84,0.19457144685762212,0.18201314444000924
181,9,0.35269965097734673,0.09659688100401849
182,34,0.23753986924600337,0.12734688304401595
183,1506,0.0697226037992835,0.21838411640592914
184,76,0.24867400852174446,0.17026555784773034
185,31,0.22904120147048296,0.18829759879139304
186,37,0.15803850431504907,0.1737402139592895
187,24,0.2615357828558187,0.11931746735392593
188,51,0.14612968755321748,0.11691736668676998
189,1420,0.23234385382190598,0.21242507504173766
190,1260,0.25517034829698515,0.22144037117789714
191,23,0.24411062913602924,0.1790435653873991
192,28,0.7574080325266742,0.13704890918892104
193,12,0.6837980844733489,0.09097388418129285
194,45,0.4337801405040105,0.1886591327860895
195,1758,0.25638660189928664,0.20672041491550813
196,8,0.32457271458898096,0.10192069656255902
197,56,0.23007524136718896,0.16903034904446504
198,63,0.21633500192680324,0.20719211805862794
199,24,0.1666234165647602,0.17173026763036997
200,56,0.19515353161803936,0.1280554734190989
201,22,0.18548031763424355,0.1797165809905013
202,191,0.3565171306334072,0.13415135359405947
203,61,0.25463402104893645,0.14733415216140003
204,59,0.24654887644536186,0.20785434785138746
205,45,0.6716975850524597,0.20444479489417416
206,668,0.2521560448652232,0.18273878110839795
207,3,0.21162365010977838,0.0
208,55,0.37619563235088155,0.196496682312979
209,58,0.27472552723875876,0.19384344968317702
210,43,0.3510645822459531,0.18610876820196007
211,15,0.03719941119942543,0.17906607030122035
212,7,0.29734543209380054,0.22650882783370896
213,55,0.24271983263285068,0.25959404698837835
214,1149,0.3194372645428082,0.21890638056522144
215,35,0.299073650196539,0.1151055322761386
216,56,0.2801818466313597,0.15505574004660236
217,2,0.4479025363382775,0.0
218,8,0.17694977647813587,0.2627357039038922
219,1665,0.2673933672313578,0.20666013768518351
220,41,0.3431196720058012,0.15048040516463423
221,24,0.18424685482246048,0.17817562166661757
222,15,0.3003701955462125,0.1784074899018896
223,45,0.28366657589402083,0.1158765645678459
224,16,0.3713503912740722,0.14541700684546474
225,9,0.2513025525702121,0.09597823359366085
226,48,0.18308740146217706,0.16910215420109423
227,7,0.5014604452412541,0.10827310961793932
228,17,0.22291119520205938,0.131486581926181
229,29,0.24438749567561077,0.11023706584353275
230,77,0.08696851026613232,0.13017385085706715
231,35,0.6084679326877713,0.18685810319876794
