"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BPCL","EQ","03-Jan-2022","        385.45","        384.00","        387.00","        384.00","        387.00","        386.10","        385.86","    3234192","          1247955801.50","      36696","    1751978","         54.17"
"BPCL","EQ","04-Jan-2022","        386.10","        388.00","        393.75","        384.75","        385.60","        385.95","        388.18","    5899648","          2290132342.35","      69656","    3109167","         52.70"
"BPCL","EQ","05-Jan-2022","        385.95","        384.95","        396.50","        383.45","        395.85","        394.70","        390.93","    6741998","          2635669487.60","      66150","    3892501","         57.74"
"BPCL","EQ","06-Jan-2022","        394.70","        396.00","        396.65","        390.60","        396.40","        395.80","        393.60","    4118574","          1621089060.55","      53212","    1962790","         47.66"
"BPCL","EQ","07-Jan-2022","        395.80","        398.00","        402.90","        395.00","        396.00","        396.20","        397.98","    5957213","          2370858641.75","      77591","    2688238","         45.13"
"BPCL","EQ","10-Jan-2022","        396.20","        399.00","        399.70","        395.60","        397.20","        397.55","        397.39","    2089864","           830494224.00","      39407","    1094629","         52.38"
"BPCL","EQ","11-Jan-2022","        397.55","        398.80","        398.80","        390.15","        391.00","        391.15","        392.86","    3427008","          1346338434.90","      76189","    2184459","         63.74"
"BPCL","EQ","12-Jan-2022","        391.15","        394.50","        395.95","        386.55","        387.90","        388.70","        390.06","    4623410","          1803417855.75","      96011","    3100390","         67.06"
"BPCL","EQ","13-Jan-2022","        388.70","        390.20","        397.55","        387.25","        395.00","        394.50","        391.31","    4245712","          1661396434.00","      85055","    1916670","         45.14"
"BPCL","EQ","14-Jan-2022","        394.50","        395.00","        399.95","        392.50","        398.60","        398.45","        397.38","    3457752","          1374048145.75","      54464","    1325585","         38.34"
"BPCL","EQ","17-Jan-2022","        398.45","        401.00","        404.40","        398.60","        400.35","        400.55","        401.84","    4835805","          1943233616.35","      93109","    1752730","         36.24"
"BPCL","EQ","18-Jan-2022","        400.55","        401.80","        406.90","        396.35","        399.00","        398.10","        403.45","    6610248","          2666920351.40","     103625","    2810679","         42.52"
"BPCL","EQ","19-Jan-2022","        398.10","        396.00","        401.50","        393.00","        393.95","        394.35","        396.52","    5173988","          2051591159.30","      92891","    2585831","         49.98"
"BPCL","EQ","20-Jan-2022","        394.35","        395.00","        397.55","        390.20","        393.65","        393.05","        394.01","    3247617","          1279586756.10","      66317","    1721368","         53.00"
"BPCL","EQ","21-Jan-2022","        393.05","        393.80","        396.05","        380.00","        382.00","        381.70","        386.76","    5155269","          1993853243.05","      98629","    2420854","         46.96"
"BPCL","EQ","24-Jan-2022","        381.70","        381.40","        383.85","        370.10","        373.05","        373.10","        376.58","    5334037","          2008713086.35","      83497","    2075919","         48.28"
"BPCL","EQ","25-Jan-2022","        373.10","        372.10","        383.80","        368.00","        382.00","        382.55","        378.24","    4952650","          1873286866.15","      98262","    2361323","         47.68"
"BPCL","EQ","27-Jan-2022","        382.55","        385.00","        385.25","        375.00","        381.90","        382.20","        379.74","    5737395","          2178694310.25","      92808","    2446623","         42.64"
"BPCL","EQ","28-Jan-2022","        382.20","        384.95","        393.50","        381.35","        383.95","        382.50","        388.00","    4044959","          1569450940.50","      62241","    1647742","         40.74"
"BPCL","EQ","31-Jan-2022","        382.50","        390.00","        399.80","        387.95","        396.85","        397.05","        395.83","    6964092","          2756581458.30","      87301","    2530718","         36.34"
