"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","03-Jan-2022","        218.05","        218.05","        219.85","        217.05","        219.10","        219.10","        218.68","    7765495","          1698139584.70","      90982","    3536174","         45.54"
"ITC","EQ","04-Jan-2022","        219.10","        219.50","        221.70","        219.05","        219.80","        220.25","        220.23","    9050253","          1993142527.45","      74888","    4546218","         50.23"
"ITC","EQ","05-Jan-2022","        220.25","        219.65","        221.50","        218.65","        220.35","        220.55","        220.27","   11230588","          2473772707.75","      87423","    4987928","         44.41"
"ITC","EQ","06-Jan-2022","        220.55","        219.00","        220.40","        218.20","        218.75","        218.70","        218.75","    8950589","          1957945139.50","      81908","    4520748","         50.51"
"ITC","EQ","07-Jan-2022","        218.70","        219.80","        220.65","        217.50","        218.45","        218.40","        218.90","    8855041","          1938371109.05","      81330","    4486192","         50.66"
"ITC","EQ","10-Jan-2022","        218.40","        219.90","        224.70","        218.90","        223.30","        223.30","        222.88","   15841299","          3530680132.30","     121707","    6645530","         41.95"
"ITC","EQ","11-Jan-2022","        223.30","        223.35","        224.25","        221.20","        222.00","        221.95","        222.43","    8020695","          1784053806.30","      97475","    4607116","         57.44"
"ITC","EQ","12-Jan-2022","        221.95","        222.50","        223.65","        221.60","        222.50","        222.75","        222.71","   13158894","          2930673797.65","      89408","    8382352","         63.70"
"ITC","EQ","13-Jan-2022","        222.75","        223.90","        225.80","        222.75","        223.90","        223.95","        223.92","   11501088","          2575330046.95","     128264","    5351318","         46.53"
"ITC","EQ","14-Jan-2022","        223.95","        223.95","        224.80","        222.30","        222.90","        222.60","        223.49","   10569725","          2362226365.70","      84726","    6078505","         57.51"
"ITC","EQ","17-Jan-2022","        222.60","        222.60","        225.60","        221.35","        224.75","        224.60","        223.95","   12318313","          2758723099.90","      86056","    6318200","         51.29"
"ITC","EQ","18-Jan-2022","        224.60","        224.60","        227.30","        220.30","        220.60","        220.75","        223.59","   14394097","          3218353734.20","     119118","    6290866","         43.70"
"ITC","EQ","19-Jan-2022","        220.75","        220.75","        222.40","        218.70","        220.40","        220.35","        220.28","   11473796","          2527397220.15","      87833","    5730573","         49.94"
"ITC","EQ","20-Jan-2022","        220.35","        220.55","        222.15","        218.00","        219.10","        218.75","        219.95","   17329896","          3811709635.10","     131195","   10992084","         63.43"
"ITC","EQ","21-Jan-2022","        218.75","        218.50","        220.50","        216.00","        217.30","        217.05","        218.40","   16586264","          3622521932.00","     127609","    8458251","         51.00"
"ITC","EQ","24-Jan-2022","        217.05","        217.05","        217.75","        210.90","        211.65","        211.80","        213.40","   17354942","          3703479243.95","     169142","    8547510","         53.25"
"ITC","EQ","25-Jan-2022","        211.80","        212.00","        214.70","        209.55","        214.05","        214.30","        212.33","   18322935","          3890440496.35","     172743","    9607140","         52.43"
"ITC","EQ","27-Jan-2022","        214.30","        211.25","        215.50","        211.10","        215.35","        214.60","        213.17","   23149684","          4934770161.85","     200471","   14292200","         61.74"
"ITC","EQ","28-Jan-2022","        214.60","        215.10","        219.25","        215.10","        217.50","        217.60","        218.12","   15276991","          3332279922.90","     113395","    7820587","         51.19"
"ITC","EQ","31-Jan-2022","        217.60","        218.50","        220.75","        217.10","        220.00","        220.20","        218.95","   15039006","          3292849824.50","     147611","    8322228","         55.34"
"ITC","EQ","01-Feb-2022","        220.20","        221.00","        228.80","        219.15","        227.90","        227.75","        224.71","   43207074","          9708929182.05","     253512","   16823834","         38.94"
"ITC","EQ","02-Feb-2022","        227.75","        230.00","        233.30","        229.00","        231.85","        232.15","        231.53","   41130638","          9522821342.60","     258107","   18431221","         44.81"
"ITC","EQ","03-Feb-2022","        232.15","        232.15","        235.20","        231.80","        233.50","        234.45","        233.64","   27845963","          6505914462.25","     192214","   11700940","         42.02"
"ITC","EQ","04-Feb-2022","        234.45","        237.25","        238.50","        231.55","        233.60","        234.30","        235.16","   56705951","         13335086752.10","     326999","   24798688","         43.73"
"ITC","EQ","07-Feb-2022","        234.30","        234.00","        234.75","        228.50","        230.35","        230.20","        230.77","   24171083","          5577857176.45","     140323","   12817471","         53.03"
"ITC","EQ","08-Feb-2022","        230.20","        230.30","        232.30","        229.05","        230.95","        231.25","        230.62","   16201280","          3736325332.95","     117574","    8911274","         55.00"
"ITC","EQ","09-Feb-2022","        231.25","        232.30","        233.00","        228.75","        230.15","        230.15","        230.53","   11893807","          2741856641.60","      96037","    5358292","         45.05"
"ITC","EQ","10-Feb-2022","        230.15","        228.70","        233.40","        227.75","        231.50","        232.25","        230.53","   19563580","          4509898491.20","     128409","   11230132","         57.40"
"ITC","EQ","11-Feb-2022","        232.25","        232.00","        233.30","        229.80","        231.85","        232.45","        231.65","   18096561","          4192137196.40","     103557","   11334540","         62.63"
"ITC","EQ","14-Feb-2022","        232.45","        226.00","        226.00","        218.50","        219.00","        219.45","        222.27","   22745228","          5055534116.75","     195500","   11513573","         50.62"
"ITC","EQ","15-Feb-2022","        219.45","        221.00","        223.50","        218.55","        223.10","        223.00","        220.98","   12875311","          2845201681.60","     120496","    5142512","         39.94"
"ITC","EQ","16-Feb-2022","        223.00","        223.80","        224.70","        221.85","        222.40","        222.75","        223.37","   11231596","          2508790711.15","      79949","    4791549","         42.66"
"ITC","EQ","17-Feb-2022","        222.75","        223.05","        224.35","        220.85","        222.70","        222.65","        222.40","   14024149","          3118965024.75","      67573","    7234578","         51.59"
"ITC","EQ","18-Feb-2022","        222.65","        222.65","        223.45","        221.50","        221.75","        221.90","        222.40","    8670947","          1928386501.95","      59314","    4721478","         54.45"
"ITC","EQ","21-Feb-2022","        221.90","        220.30","        221.30","        217.15","        218.10","        218.00","        219.70","   16129017","          3543547701.95","      97652","    8814338","         54.65"
"ITC","EQ","22-Feb-2022","        218.00","        215.00","        216.90","        213.00","        214.65","        214.85","        214.65","   25749340","          5527205710.85","     122029","   17219519","         66.87"
"ITC","EQ","23-Feb-2022","        214.85","        216.80","        217.50","        215.05","        215.75","        215.95","        216.53","   11014283","          2384973404.80","     100185","    5562794","         50.51"
"ITC","EQ","24-Feb-2022","        215.95","        210.00","        213.30","        207.00","        209.35","        208.50","        210.39","   41341523","          8697718255.90","     223227","   24141167","         58.39"
"ITC","EQ","25-Feb-2022","        208.50","        211.50","        216.50","        210.55","        214.15","        213.95","        214.29","   23633656","          5064443403.50","     140701","   13227204","         55.97"
"ITC","EQ","28-Feb-2022","        213.95","        213.20","        216.45","        210.80","        215.90","        215.85","        214.43","   20034633","          4295962961.15","     117869","   11095663","         55.38"
"ITC","EQ","02-Mar-2022","        215.85","        214.40","        216.60","        212.45","        215.40","        215.30","        214.93","   19295994","          4147196308.90","     129126","   12215829","         63.31"
"ITC","EQ","03-Mar-2022","        215.30","        216.05","        220.20","        216.00","        219.35","        219.40","        218.52","   28532668","          6235043682.65","     122600","   18281302","         64.07"
"ITC","EQ","04-Mar-2022","        219.40","        217.70","        227.40","        217.00","        225.00","        225.50","        222.66","   66835736","         14881564312.10","     284871","   40825247","         61.08"
"ITC","EQ","07-Mar-2022","        225.50","        222.00","        227.00","        220.10","        225.95","        224.95","        223.87","   45258669","         10131981893.30","     226272","   26504909","         58.56"
"ITC","EQ","08-Mar-2022","        224.95","        223.90","        228.45","        223.75","        226.80","        226.90","        226.27","   36036336","          8154008012.30","     198973","   23514703","         65.25"
"ITC","EQ","09-Mar-2022","        226.90","        227.70","        231.40","        226.10","        229.00","        229.25","        228.80","   42294906","          9677136454.80","     168447","   29264232","         69.19"
"ITC","EQ","10-Mar-2022","        229.25","        231.00","        232.50","        227.85","        231.45","        232.00","        230.14","   36132245","          8315364499.35","     162038","   22399679","         61.99"
"ITC","EQ","11-Mar-2022","        232.00","        231.90","        237.10","        230.15","        234.95","        236.35","        234.51","   41699184","          9778867194.45","     194153","   27730894","         66.50"
"ITC","EQ","14-Mar-2022","        236.35","        236.25","        239.45","        235.30","        239.00","        239.00","        237.88","   35113638","          8352803841.25","     153586","   22869875","         65.13"
"ITC","EQ","15-Mar-2022","        239.00","        239.00","        241.40","        235.90","        238.20","        237.85","        238.48","   32998305","          7869470291.25","     159184","   20863422","         63.23"
"ITC","EQ","16-Mar-2022","        237.85","        240.00","        243.00","        239.10","        242.40","        242.60","        240.65","   21629521","          5205102085.50","     132633","   13145841","         60.78"
"ITC","EQ","17-Mar-2022","        242.60","        245.25","        245.40","        242.70","        244.55","        244.90","        244.30","   34223740","          8360956981.30","     158119","   22185292","         64.82"
"ITC","EQ","21-Mar-2022","        244.90","        245.90","        247.75","        243.80","        244.50","        244.50","        245.28","   27975134","          6861601746.00","     149077","   16934475","         60.53"
"ITC","EQ","22-Mar-2022","        244.50","        244.55","        250.75","        243.55","        249.95","        249.75","        247.49","   36945426","          9143578093.70","     176133","   21253371","         57.53"
"ITC","EQ","23-Mar-2022","        249.75","        251.45","        253.70","        248.50","        251.90","        252.00","        251.88","   40491633","         10199201336.50","     239738","   23950896","         59.15"
"ITC","EQ","24-Mar-2022","        252.00","        251.95","        256.50","        251.45","        254.75","        254.85","        254.29","   38239419","          9723876526.05","     187564","   20850112","         54.53"
"ITC","EQ","25-Mar-2022","        254.85","        255.30","        255.75","        249.25","        252.70","        253.35","        252.48","   29284643","          7393703767.10","     131798","   17268364","         58.97"
"ITC","EQ","28-Mar-2022","        253.35","        254.00","        258.00","        252.55","        256.20","        257.05","        255.73","   24916402","          6371890062.65","     156533","   13738059","         55.14"
"ITC","EQ","29-Mar-2022","        257.05","        257.05","        257.50","        253.75","        254.30","        254.60","        255.06","   18122714","          4622454136.40","     114137","   10020467","         55.29"
"ITC","EQ","30-Mar-2022","        254.60","        255.10","        256.40","        248.65","        249.05","        249.20","        251.58","   17603827","          4428750077.05","     125981","    9256409","         52.58"
