"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LT","EQ","03-Jan-2022","       1895.90","       1895.00","       1937.45","       1893.65","       1924.00","       1922.85","       1923.55","    1906676","          3667582418.15","      78718","     974173","         51.09"
"LT","EQ","04-Jan-2022","       1922.85","       1922.85","       1943.00","       1914.55","       1937.50","       1937.55","       1930.71","    1643920","          3173938386.60","      61437","     943982","         57.42"
"LT","EQ","05-Jan-2022","       1937.55","       1940.70","       1951.00","       1927.65","       1945.80","       1948.60","       1939.88","    1711667","          3320421905.45","      64313","    1029751","         60.16"
"LT","EQ","06-Jan-2022","       1948.60","       1944.50","       1953.00","       1919.60","       1924.50","       1924.50","       1931.24","    1372015","          2649686781.00","      75564","     733619","         53.47"
"LT","EQ","07-Jan-2022","       1924.50","       1929.05","       1934.95","       1897.15","       1906.00","       1904.90","       1911.48","    1447123","          2766141879.50","      65033","     926052","         63.99"
"LT","EQ","10-Jan-2022","       1904.90","       1910.00","       1959.95","       1907.25","       1952.95","       1953.10","       1932.01","    2397846","          4632669596.00","     113910","    1530736","         63.84"
"LT","EQ","11-Jan-2022","       1953.10","       1949.00","       1970.00","       1937.65","       1960.00","       1961.15","       1957.29","    2232435","          4369533380.95","     116361","    1437673","         64.40"
"LT","EQ","12-Jan-2022","       1961.15","       1978.50","       1984.00","       1960.30","       1967.45","       1974.20","       1972.68","    1585970","          3128617893.95","     100678","     925782","         58.37"
"LT","EQ","13-Jan-2022","       1974.20","       1975.55","       2029.00","       1975.55","       2023.00","       2018.40","       2000.94","    2373324","          4748888278.75","     114519","    1143333","         48.17"
"LT","EQ","14-Jan-2022","       2018.40","       2014.00","       2049.95","       2007.00","       2042.00","       2044.75","       2038.32","    3124945","          6369645018.55","     110302","    1738187","         55.62"
"LT","EQ","17-Jan-2022","       2044.75","       2044.75","       2071.95","       2042.00","       2070.65","       2069.40","       2058.24","    1858651","          3825557931.20","      73766","    1063717","         57.23"
"LT","EQ","18-Jan-2022","       2069.40","       2075.65","       2078.55","       2010.55","       2025.95","       2022.20","       2045.06","    1460676","          2987164610.55","      87061","     661714","         45.30"
"LT","EQ","19-Jan-2022","       2022.20","       2019.90","       2027.00","       1987.00","       2016.85","       2020.90","       2011.25","    2336679","          4699645889.30","      97519","    1360826","         58.24"
"LT","EQ","20-Jan-2022","       2020.90","       2020.00","       2035.00","       1984.10","       2002.40","       2003.50","       2002.76","    2031107","          4067829372.90","      88049","    1217560","         59.95"
"LT","EQ","21-Jan-2022","       2003.50","       1982.15","       1994.80","       1943.05","       1963.50","       1956.05","       1965.56","    2209132","          4342182618.90","     150766","    1435214","         64.97"
"LT","EQ","24-Jan-2022","       1956.05","       1955.00","       1959.00","       1881.55","       1897.00","       1899.90","       1913.63","    2307120","          4414973871.80","     121335","    1501832","         56.95"
"LT","EQ","25-Jan-2022","       1899.90","       1895.00","       1931.30","       1850.10","       1919.35","       1925.30","       1899.52","    2998042","          5694826480.30","     150876","    1726331","         57.58"
"LT","EQ","27-Jan-2022","       1925.30","       1914.55","       1922.00","       1867.00","       1913.20","       1910.85","       1896.79","    2932713","          5562738543.25","     161007","    1564122","         53.33"
"LT","EQ","28-Jan-2022","       1910.85","       1916.10","       1948.00","       1891.30","       1897.85","       1897.55","       1922.61","    2233620","          4294386759.65","     108456","     977043","         43.74"
"LT","EQ","31-Jan-2022","       1897.55","       1890.20","       1924.00","       1850.45","       1912.00","       1909.20","       1900.77","    3161064","          6008458244.10","     133776","    1305130","         41.29"
"LT","EQ","01-Feb-2022","       1909.20","       1928.65","       1999.90","       1917.00","       1995.00","       1990.50","       1956.04","    5392787","         10548509358.05","     182471","    1859480","         34.48"
"LT","EQ","02-Feb-2022","       1990.50","       1995.10","       2008.00","       1970.60","       1980.95","       1982.70","       1986.62","    3579380","          7110877534.10","     150366","    2198792","         61.43"
"LT","EQ","03-Feb-2022","       1982.70","       1981.50","       1985.00","       1930.00","       1931.20","       1933.65","       1947.70","    2262217","          4406120386.35","     114638","    1309045","         57.87"
"LT","EQ","04-Feb-2022","       1933.65","       1948.00","       1957.80","       1923.30","       1945.00","       1947.95","       1944.48","    1440816","          2801635503.25","      85121","     657575","         45.64"
"LT","EQ","07-Feb-2022","       1947.95","       1932.50","       1947.50","       1874.55","       1878.75","       1884.50","       1895.32","    2641464","          5006422032.20","     129248","    1506561","         57.04"
"LT","EQ","08-Feb-2022","       1884.50","       1890.00","       1896.95","       1848.00","       1872.10","       1875.60","       1867.77","    2040523","          3811230145.85","     108225","     972675","         47.67"
"LT","EQ","09-Feb-2022","       1875.60","       1884.50","       1899.90","       1875.60","       1890.00","       1888.80","       1887.43","    1390810","          2625061091.70","      74046","     741730","         53.33"
"LT","EQ","10-Feb-2022","       1888.80","       1892.00","       1911.00","       1881.00","       1898.00","       1901.00","       1901.71","    1288856","          2451025823.50","      74334","     610260","         47.35"
"LT","EQ","11-Feb-2022","       1901.00","       1889.00","       1889.00","       1850.00","       1867.50","       1871.25","       1866.85","    1744894","          3257451964.70","     104505","     939148","         53.82"
"LT","EQ","14-Feb-2022","       1871.25","       1843.25","       1846.95","       1795.00","       1797.00","       1799.00","       1815.91","    2290199","          4158794979.00","     157581","    1206748","         52.69"
"LT","EQ","15-Feb-2022","       1799.00","       1810.00","       1882.00","       1806.15","       1870.85","       1876.05","       1845.36","    2602134","          4801876450.45","     125591","    1312479","         50.44"
"LT","EQ","16-Feb-2022","       1876.05","       1876.05","       1887.30","       1842.15","       1859.00","       1860.70","       1858.26","    1898439","          3527787553.40","      95311","     955480","         50.33"
"LT","EQ","17-Feb-2022","       1860.70","       1869.00","       1884.90","       1854.10","       1863.10","       1868.70","       1870.26","    1459905","          2730401061.20","      72851","     606590","         41.55"
"LT","EQ","18-Feb-2022","       1868.70","       1870.00","       1896.00","       1865.15","       1881.90","       1883.10","       1886.34","    1912482","          3607592094.40","     100742","     782603","         40.92"
"LT","EQ","21-Feb-2022","       1883.10","       1874.95","       1883.90","       1848.85","       1855.00","       1863.95","       1868.33","    1262585","          2358920023.05","      64254","     490357","         38.84"
"LT","EQ","22-Feb-2022","       1863.95","       1813.00","       1855.00","       1800.50","       1837.10","       1844.45","       1828.73","    2288298","          4184679976.15","     100077","     982330","         42.93"
"LT","EQ","23-Feb-2022","       1844.45","       1849.00","       1852.00","       1816.15","       1819.95","       1820.30","       1831.36","    1583872","          2900635456.85","     113830","     960634","         60.65"
"LT","EQ","24-Feb-2022","       1820.30","       1783.25","       1800.00","       1751.00","       1757.75","       1757.35","       1776.32","    3616355","          6423797117.20","     217872","    2103661","         58.17"
"LT","EQ","25-Feb-2022","       1757.35","       1782.00","       1798.70","       1765.00","       1780.00","       1777.05","       1781.84","    2476882","          4413409130.75","     163477","    1458279","         58.88"
"LT","EQ","28-Feb-2022","       1777.05","       1764.90","       1822.25","       1752.80","       1815.50","       1816.75","       1798.40","    2553662","          4592513516.45","     109320","    1480815","         57.99"
"LT","EQ","02-Mar-2022","       1816.75","       1800.00","       1826.95","       1768.50","       1795.55","       1784.50","       1788.62","    3152628","          5638864084.70","     147873","    2118239","         67.19"
"LT","EQ","03-Mar-2022","       1784.50","       1810.00","       1813.55","       1745.55","       1757.50","       1752.30","       1770.66","    2259979","          4001652378.15","     135995","    1493013","         66.06"
"LT","EQ","04-Mar-2022","       1752.30","       1740.00","       1754.05","       1703.00","       1710.65","       1711.75","       1718.56","    3906819","          6714110383.15","     175780","    2524975","         64.63"
"LT","EQ","07-Mar-2022","       1711.75","       1658.25","       1666.80","       1605.55","       1640.00","       1634.45","       1627.93","    6318251","         10285674264.35","     287087","    4287873","         67.86"
"LT","EQ","08-Mar-2022","       1634.45","       1627.90","       1666.00","       1595.00","       1657.40","       1658.50","       1627.79","    4421730","          7197646250.10","     161579","    2685308","         60.73"
