"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","03-Jan-2022","        142.40","        142.35","        143.45","        141.20","        143.00","        143.05","        142.87","    3765911","           538038479.40","      39497","    1197480","         31.80"
"ONGC","EQ","04-Jan-2022","        143.05","        143.10","        148.60","        143.10","        148.30","        147.80","        147.14","   16351836","          2406067170.25","     120100","    4219821","         25.81"
"ONGC","EQ","05-Jan-2022","        147.80","        148.50","        151.10","        147.40","        150.00","        150.35","        149.21","   12977680","          1936407686.90","     163722","    4905981","         37.80"
"ONGC","EQ","06-Jan-2022","        150.35","        150.60","        151.40","        148.35","        150.55","        150.80","        149.99","    9012777","          1351860266.80","      66964","    4347446","         48.24"
"ONGC","EQ","07-Jan-2022","        150.80","        151.50","        157.50","        151.35","        157.10","        157.05","        155.67","   30889365","          4808602337.35","     168673","   11845070","         38.35"
"ONGC","EQ","10-Jan-2022","        157.05","        158.25","        159.40","        156.40","        159.10","        158.35","        157.65","   16418985","          2588434635.45","      97131","    8791930","         53.55"
"ONGC","EQ","11-Jan-2022","        158.35","        158.80","        161.65","        157.60","        160.85","        160.95","        159.62","   14457548","          2307724611.55","     111334","    6546773","         45.28"
"ONGC","EQ","12-Jan-2022","        160.95","        162.70","        165.70","        161.40","        164.20","        164.95","        163.95","   21220614","          3479082313.25","     119153","    9395388","         44.27"
"ONGC","EQ","13-Jan-2022","        164.95","        164.95","        165.50","        163.05","        163.40","        163.95","        164.13","    7445346","          1222005419.30","      65293","    2805205","         37.68"
"ONGC","EQ","14-Jan-2022","        163.95","        162.95","        163.30","        160.20","        160.90","        161.05","        161.29","   11646259","          1878452262.85","      77709","    5745974","         49.34"
"ONGC","EQ","17-Jan-2022","        161.05","        162.50","        168.20","        162.30","        166.25","        165.85","        166.09","   32577835","          5410942045.40","     177067","   15907750","         48.83"
"ONGC","EQ","18-Jan-2022","        165.85","        168.30","        168.40","        163.40","        164.25","        163.85","        165.68","   11175409","          1851507172.00","      82854","    3644210","         32.61"
"ONGC","EQ","19-Jan-2022","        163.85","        165.30","        171.00","        164.90","        169.50","        170.25","        168.57","   36648534","          6177917548.55","     193216","   13759209","         37.54"
"ONGC","EQ","20-Jan-2022","        170.25","        170.90","        170.90","        166.50","        166.90","        166.85","        168.52","   14474454","          2439178696.80","      96690","    6311696","         43.61"
"ONGC","EQ","21-Jan-2022","        166.85","        165.30","        166.40","        162.30","        164.00","        163.65","        164.15","    8625926","          1415919277.45","      57305","    3115603","         36.12"
"ONGC","EQ","24-Jan-2022","        163.65","        165.20","        168.30","        163.75","        165.00","        165.70","        166.09","   28783449","          4780784714.00","     160060","    5223388","         46.91"
"ONGC","EQ","25-Jan-2022","        165.70","        163.00","        166.70","        163.00","        164.75","        165.15","        164.80","   14249846","          2348403634.95","      87544","    6280195","         44.07"
"ONGC","EQ","27-Jan-2022","        165.15","        165.10","        168.75","        164.50","        165.50","        165.70","        166.58","   25936832","          4320564697.85","     142389","    9899430","         38.17"
"ONGC","EQ","28-Jan-2022","        165.70","        167.55","        174.70","        166.25","        168.50","        168.80","        171.56","   32790065","          5625386347.60","     185120","   11737111","         35.79"
"ONGC","EQ","31-Jan-2022","        168.80","        171.60","        174.85","        169.55","        172.50","        172.60","        173.29","   24031034","          4164434222.25","     127124","   10386165","         43.22"
"ONGC","EQ","01-Feb-2022","        172.60","        174.00","        174.90","        168.50","        170.30","        170.95","        170.75","   14220953","          2428157417.85","     109591","    6419520","         45.14"
"ONGC","EQ","02-Feb-2022","        170.95","        170.55","        174.05","        170.50","        171.00","        171.30","        172.04","   12478192","          2146762786.50","      69921","    5155869","         41.32"
"ONGC","EQ","03-Feb-2022","        171.30","        170.00","        171.25","        166.00","        166.20","        167.50","        168.08","   12529302","          2105864129.90","      76391","    6622447","         52.86"
"ONGC","EQ","04-Feb-2022","        167.50","        170.00","        172.70","        169.05","        169.65","        169.60","        170.48","   17434362","          2972285190.00","     117090","    6403577","         36.73"
"ONGC","EQ","07-Feb-2022","        169.60","        170.70","        173.30","        169.20","        171.80","        172.10","        171.63","   11723574","          2012115684.00","      84437","    4079798","         34.80"
"ONGC","EQ","08-Feb-2022","        172.10","        172.00","        173.00","        166.50","        167.25","        166.95","        168.87","   13231599","          2234391913.25","      86112","    4918232","         37.17"
"ONGC","EQ","09-Feb-2022","        166.95","        167.90","        169.60","        163.10","        164.45","        163.95","        165.36","   17938632","          2966370242.35","      90930","    8298149","         46.26"
"ONGC","EQ","10-Feb-2022","        163.95","        165.85","        170.40","        165.15","        169.90","        169.10","        168.32","   26763203","          4504859932.40","     132252","   10003782","         37.38"
"ONGC","EQ","11-Feb-2022","        169.10","        167.95","        170.50","        167.10","        167.75","        168.15","        168.41","   12884995","          2169934969.20","      81017","    4603972","         35.73"
"ONGC","EQ","14-Feb-2022","        168.15","        168.90","        176.35","        165.20","        165.75","        166.20","        169.45","   44604164","          7558157424.85","     222156","   10829731","         24.28"
"ONGC","EQ","15-Feb-2022","        166.20","        170.00","        170.00","        156.40","        164.50","        164.15","        164.43","   31146458","          5121423101.70","     163332","   11779156","         37.82"
"ONGC","EQ","16-Feb-2022","        164.15","        164.50","        168.90","        164.50","        168.50","        168.55","        166.82","   15960268","          2662423874.75","      97957","    4209007","         26.37"
"ONGC","EQ","17-Feb-2022","        168.55","        168.55","        172.40","        168.50","        171.35","        171.75","        170.89","   24640791","          4210875744.20","     118109","    9799994","         39.77"
"ONGC","EQ","18-Feb-2022","        171.75","        171.20","        171.75","        166.70","        168.00","        167.90","        168.77","   11829998","          1996555340.20","      72596","    3639289","         30.76"
"ONGC","EQ","21-Feb-2022","        167.90","        167.40","        167.55","        163.05","        163.25","        163.40","        164.41","   14222260","          2338293974.15","     100158","    5651882","         39.74"
"ONGC","EQ","22-Feb-2022","        163.40","        166.50","        166.50","        163.25","        164.60","        164.95","        164.64","   29399172","          4840367548.85","     154623","   10389500","         35.34"
"ONGC","EQ","23-Feb-2022","        164.95","        166.25","        166.40","        159.65","        161.00","        160.75","        161.84","   21301826","          3447425314.25","     139948","    8748378","         41.07"
"ONGC","EQ","24-Feb-2022","        160.75","        160.75","        162.40","        156.00","        156.30","        156.65","        158.93","   28766189","          4571931682.30","     166098","    8658950","         30.10"
"ONGC","EQ","25-Feb-2022","        156.65","        159.40","        160.40","        156.80","        159.60","        159.50","        159.27","   20225258","          3221343934.90","      98990","    8923137","         44.12"
"ONGC","EQ","28-Feb-2022","        159.50","        160.50","        161.85","        155.80","        160.40","        160.65","        159.51","   20210070","          3223640019.90","     100065","    7933946","         39.26"
"ONGC","EQ","02-Mar-2022","        160.65","        165.65","        168.35","        161.90","        163.00","        162.95","        164.94","   41103406","          6779645529.65","     182924","   16822713","         40.93"
"ONGC","EQ","03-Mar-2022","        162.95","        168.30","        171.80","        162.90","        170.45","        170.30","        166.42","   42345653","          7046971628.15","     161133","   17976828","         42.45"
"ONGC","EQ","04-Mar-2022","        170.30","        170.10","        171.00","        163.85","        165.90","        165.25","        166.42","   32658756","          5434912214.95","     183647","   14460810","         44.28"
"ONGC","EQ","07-Mar-2022","        165.25","        167.10","        189.80","        167.10","        187.00","        186.95","        180.36","  132538155","         23904057280.45","     539805","   33342926","         25.16"
"ONGC","EQ","08-Mar-2022","        186.95","        190.00","        194.95","        177.80","        178.70","        179.10","        183.28","   73127816","         13402710611.60","     405372","   14796874","         20.23"
"ONGC","EQ","09-Mar-2022","        179.10","        183.00","        183.80","        173.85","        174.60","        175.40","        177.98","   51977091","          9251005855.90","     318688","   16704157","         32.14"
"ONGC","EQ","10-Mar-2022","        175.40","        168.25","        176.90","        165.00","        174.40","        174.35","        172.52","   62112814","         10715620112.10","     288919","   20329477","         32.73"
"ONGC","EQ","11-Mar-2022","        174.35","        172.50","        176.40","        171.70","        175.50","        175.70","        174.23","   26187452","          4562620044.40","     129365","   10380398","         39.64"
"ONGC","EQ","14-Mar-2022","        175.70","        174.00","        175.50","        170.60","        171.60","        171.80","        172.26","   20214021","          3481982573.05","     116176","    9222051","         45.62"
"ONGC","EQ","15-Mar-2022","        171.80","        168.30","        169.50","        161.65","        163.40","        163.75","        164.13","   42333127","          6948111278.95","     187908","   20035940","         47.33"
"ONGC","EQ","16-Mar-2022","        163.75","        166.00","        167.85","        161.85","        167.20","        167.30","        165.38","   25545119","          4224551408.05","     113301","   10022693","         39.24"
"ONGC","EQ","17-Mar-2022","        167.30","        166.60","        171.50","        164.60","        169.50","        170.30","        168.90","   66314748","         11200412874.10","     149509","   40151159","         60.55"
"ONGC","EQ","21-Mar-2022","        170.30","        171.70","        175.00","        170.30","        172.20","        172.55","        173.22","   20614652","          3570775881.90","     127950","    6616232","         32.09"
"ONGC","EQ","22-Mar-2022","        172.55","        176.20","        181.25","        173.80","        175.50","        175.45","        177.70","   39742745","          7062273832.60","     195953","    8197650","         20.63"
"ONGC","EQ","23-Mar-2022","        175.45","        176.50","        177.70","        174.85","        175.75","        175.60","        176.05","   10994784","          1935685831.20","      65990","    3840895","         34.93"
"ONGC","EQ","24-Mar-2022","        175.60","        178.90","        180.40","        176.50","        177.00","        177.45","        177.79","   20332589","          3615001987.15","      87855","    8263390","         40.64"
"ONGC","EQ","25-Mar-2022","        177.45","        178.50","        179.25","        175.10","        175.50","        175.80","        177.00","   13608989","          2408796337.85","      81942","    7168128","         52.67"
"ONGC","EQ","28-Mar-2022","        175.80","        175.50","        177.90","        174.65","        175.50","        176.35","        176.39","   15253027","          2690456279.95","      65255","    7262252","         47.61"
"ONGC","EQ","29-Mar-2022","        176.35","        174.95","        175.20","        170.55","        171.00","        171.00","        171.99","   14210783","          2444152995.30","     115704","    4942178","         34.78"
"ONGC","EQ","30-Mar-2022","        171.00","        163.00","        164.85","        161.15","        161.80","        162.00","        162.60","   95239532","         15486302818.55","     199739","   45446014","         47.72"
