"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","03-Jan-2022","       1111.45","       1115.00","       1151.00","       1115.00","       1150.00","       1142.45","       1129.46","    3865803","          4366279501.50","      87982","    1215520","         31.44"
"TATASTEEL","EQ","04-Jan-2022","       1142.45","       1153.00","       1159.70","       1136.50","       1148.05","       1148.80","       1147.81","    5975731","          6859026649.55","     125400","    1733910","         29.02"
"TATASTEEL","EQ","05-Jan-2022","       1148.80","       1147.00","       1180.80","       1141.25","       1176.00","       1177.60","       1166.60","    6186176","          7216800113.20","     134032","    1997541","         32.29"
"TATASTEEL","EQ","06-Jan-2022","       1177.60","       1172.00","       1183.00","       1155.55","       1161.50","       1163.25","       1166.83","    5335400","          6225489082.45","     133187","    1440528","         27.00"
"TATASTEEL","EQ","07-Jan-2022","       1163.25","       1165.20","       1174.00","       1147.85","       1158.15","       1160.35","       1160.62","    3973857","          4612154157.25","      87679","    1167664","         29.38"
"TATASTEEL","EQ","10-Jan-2022","       1160.35","       1165.00","       1173.40","       1153.85","       1168.00","       1169.05","       1165.95","    3822500","          4456832468.05","     124004","    1331943","         34.84"
"TATASTEEL","EQ","11-Jan-2022","       1169.05","       1158.65","       1162.70","       1113.00","       1134.90","       1130.25","       1137.02","    9697885","         11026712678.50","     245197","    3285797","         33.88"
"TATASTEEL","EQ","12-Jan-2022","       1130.25","       1139.85","       1150.80","       1132.40","       1147.80","       1147.20","       1142.13","    5035843","          5751572117.00","     139132","    1525010","         30.28"
"TATASTEEL","EQ","13-Jan-2022","       1147.20","       1154.00","       1225.50","       1152.15","       1219.00","       1221.15","       1200.08","   15723116","         18868961106.25","     350847","    4326987","         27.52"
"TATASTEEL","EQ","14-Jan-2022","       1221.15","       1213.00","       1226.30","       1206.10","       1211.00","       1213.60","       1215.42","    5267907","          6402740872.75","     162565","    1290762","         24.50"
"TATASTEEL","EQ","17-Jan-2022","       1213.60","       1215.00","       1245.00","       1190.35","       1230.80","       1229.75","       1221.77","    8969607","         10958788425.80","     202840","    2210957","         24.65"
"TATASTEEL","EQ","18-Jan-2022","       1229.75","       1230.00","       1233.75","       1190.00","       1196.95","       1194.85","       1209.80","    5840897","          7066337357.80","     150353","    1797537","         30.78"
"TATASTEEL","EQ","19-Jan-2022","       1194.85","       1196.00","       1220.90","       1183.00","       1208.00","       1209.60","       1204.89","    7304321","          8800884092.50","     186907","    1335466","         18.28"
"TATASTEEL","EQ","20-Jan-2022","       1209.60","       1210.10","       1224.00","       1197.00","       1209.90","       1206.70","       1212.03","    5920597","          7175912863.90","     159207","    1526225","         25.78"
"TATASTEEL","EQ","21-Jan-2022","       1206.70","       1200.00","       1204.30","       1156.35","       1169.10","       1169.70","       1177.49","    7166267","          8438184184.45","     170921","    2048736","         28.59"
"TATASTEEL","EQ","24-Jan-2022","       1169.70","       1160.00","       1163.65","       1090.00","       1100.50","       1099.20","       1121.02","    8392076","          9407699634.20","     279320","    1468792","         29.10"
"TATASTEEL","EQ","25-Jan-2022","       1099.20","       1094.70","       1121.00","       1087.05","       1105.95","       1109.10","       1107.84","    5733063","          6351334528.60","     206703","    1555235","         27.13"
"TATASTEEL","EQ","27-Jan-2022","       1109.10","       1090.00","       1103.45","       1061.30","       1090.65","       1088.35","       1082.03","    9056656","          9799578271.55","     271554","    2244835","         24.79"
"TATASTEEL","EQ","28-Jan-2022","       1088.35","       1105.85","       1125.75","       1080.95","       1086.00","       1084.65","       1108.99","    7864893","          8722067779.45","     192376","    2044249","         25.99"
"TATASTEEL","EQ","31-Jan-2022","       1084.65","       1109.90","       1114.60","       1080.50","       1085.00","       1085.55","       1096.19","    5570939","          6106808797.40","     172294","    1283038","         23.03"
"TATASTEEL","EQ","01-Feb-2022","       1085.55","       1104.90","       1174.45","       1086.40","       1166.55","       1167.35","       1134.27","   17075268","         19367952076.85","     364400","    3122607","         18.29"
"TATASTEEL","EQ","02-Feb-2022","       1167.35","       1179.90","       1179.90","       1158.30","       1168.00","       1167.50","       1166.61","    7524734","          8778450173.45","     178662","    1633416","         21.71"
"TATASTEEL","EQ","03-Feb-2022","       1167.50","       1153.00","       1181.70","       1146.30","       1163.00","       1166.60","       1169.68","    6514090","          7619418043.55","     151104","     916256","         14.07"
"TATASTEEL","EQ","04-Feb-2022","       1166.60","       1173.80","       1197.75","       1170.25","       1174.40","       1176.30","       1184.03","    9317418","         11032097305.30","     212738","    1565436","         16.80"
"TATASTEEL","EQ","07-Feb-2022","       1176.30","       1168.30","       1214.60","       1161.00","       1184.95","       1183.00","       1194.31","   14510525","         17330102163.95","     321698","    2468210","         17.01"
"TATASTEEL","EQ","08-Feb-2022","       1183.00","       1195.00","       1222.40","       1171.50","       1219.50","       1219.60","       1202.55","   14083984","         16936657066.70","     316614","    3087211","         21.92"
"TATASTEEL","EQ","09-Feb-2022","       1219.60","       1231.00","       1234.00","       1208.15","       1218.00","       1222.35","       1219.80","    7352060","          8968009893.95","     167342","    1841908","         25.05"
"TATASTEEL","EQ","10-Feb-2022","       1222.35","       1230.00","       1254.25","       1226.00","       1247.30","       1248.35","       1244.12","    9392057","         11684809977.10","     222188","    3046067","         32.43"
"TATASTEEL","EQ","11-Feb-2022","       1248.35","       1239.00","       1264.95","       1233.10","       1251.80","       1254.45","       1252.44","    9676226","         12118883254.80","     211755","    2754991","         28.47"
"TATASTEEL","EQ","14-Feb-2022","       1254.45","       1220.10","       1227.75","       1180.10","       1183.25","       1186.85","       1202.85","    8021613","          9648820655.15","     211234","    2007705","         25.03"
"TATASTEEL","EQ","15-Feb-2022","       1186.85","       1196.85","       1212.00","       1151.55","       1204.95","       1207.75","       1179.18","   10188921","         12014582504.45","     238309","    1466994","         14.40"
"TATASTEEL","EQ","16-Feb-2022","       1207.75","       1215.00","       1217.90","       1186.50","       1187.95","       1191.80","       1199.11","    6609214","          7925141990.10","     171088","    1034623","         15.65"
"TATASTEEL","EQ","17-Feb-2022","       1191.80","       1201.10","       1209.50","       1186.15","       1190.00","       1190.95","       1197.29","    5655792","          6771643720.60","     117118","    1080967","         19.11"
"TATASTEEL","EQ","18-Feb-2022","       1190.95","       1187.00","       1205.00","       1183.00","       1191.00","       1190.80","       1196.74","    4725120","          5654746883.90","     119821","     834039","         17.65"
"TATASTEEL","EQ","21-Feb-2022","       1190.80","       1188.00","       1202.00","       1174.40","       1181.00","       1181.85","       1188.32","    4978732","          5916328122.20","     117333","     587877","         11.81"
"TATASTEEL","EQ","22-Feb-2022","       1181.85","       1158.00","       1166.65","       1119.25","       1134.00","       1138.70","       1141.03","    9385857","         10709565886.60","     222627","    2078541","         22.15"
"TATASTEEL","EQ","23-Feb-2022","       1138.70","       1148.00","       1152.60","       1134.00","       1137.90","       1139.00","       1143.60","    4960838","          5673217190.30","     129498","     738406","         14.88"
"TATASTEEL","EQ","24-Feb-2022","       1139.00","       1094.00","       1119.95","       1067.10","       1079.00","       1074.00","       1095.75","   12126867","         13288073810.50","     324643","    3660968","         30.19"
"TATASTEEL","EQ","25-Feb-2022","       1074.00","       1097.70","       1150.70","       1095.60","       1144.95","       1145.35","       1136.16","    9212886","         10467347648.45","     226899","    2433231","         26.41"
"TATASTEEL","EQ","28-Feb-2022","       1145.35","       1134.00","       1225.00","       1129.20","       1217.90","       1220.75","       1196.83","   17605446","         21070773518.25","     408543","    5556479","         31.56"
"TATASTEEL","EQ","02-Mar-2022","       1220.75","       1220.75","       1299.60","       1218.55","       1288.75","       1289.35","       1280.64","   24847532","         31820691227.60","     612717","    9784999","         39.38"
"TATASTEEL","EQ","03-Mar-2022","       1289.35","       1306.00","       1328.65","       1293.65","       1303.00","       1303.30","       1309.97","   17450338","         22859407692.45","     528049","    5496440","         31.50"
"TATASTEEL","EQ","04-Mar-2022","       1303.30","       1302.40","       1319.85","       1273.00","       1277.00","       1277.10","       1297.98","   16282923","         21134984241.95","     498851","    4692475","         28.82"
"TATASTEEL","EQ","07-Mar-2022","       1277.10","       1275.90","       1301.80","       1264.00","       1293.00","       1291.90","       1279.85","   11040001","         14129580242.05","     289960","    3102424","         28.10"
"TATASTEEL","EQ","08-Mar-2022","       1291.90","       1293.00","       1294.00","       1244.00","       1265.90","       1269.50","       1263.11","    9107822","         11504186252.60","     248719","    1846780","         20.28"
"TATASTEEL","EQ","09-Mar-2022","       1269.50","       1273.90","       1276.80","       1248.60","       1255.55","       1255.35","       1260.29","    6934888","          8739970128.45","     180250","    1326393","         19.13"
"TATASTEEL","EQ","10-Mar-2022","       1255.35","       1257.85","       1313.80","       1241.00","       1309.35","       1308.70","       1280.13","   13674062","         17504564980.75","     288992","    3924993","         28.70"
"TATASTEEL","EQ","11-Mar-2022","       1308.70","       1315.00","       1339.90","       1296.20","       1298.50","       1301.70","       1316.20","   11882299","         15639524482.95","     283313","    2369607","         19.94"
"TATASTEEL","EQ","14-Mar-2022","       1301.70","       1305.00","       1311.70","       1277.70","       1298.60","       1297.00","       1293.34","    5278082","          6826343839.50","     155247","     800405","         15.16"
"TATASTEEL","EQ","15-Mar-2022","       1297.00","       1291.80","       1293.00","       1228.00","       1229.05","       1233.75","       1251.97","    9614313","         12036820173.55","     289968","    3393755","         35.30"
"TATASTEEL","EQ","16-Mar-2022","       1233.75","       1245.00","       1271.20","       1240.20","       1262.00","       1265.25","       1258.54","    6302451","          7931873085.60","     162595","    1274540","         20.22"
"TATASTEEL","EQ","17-Mar-2022","       1265.25","       1275.00","       1317.80","       1271.10","       1300.05","       1303.45","       1297.78","   10623976","         13787547257.25","     211990","    2883225","         27.14"
"TATASTEEL","EQ","21-Mar-2022","       1303.45","       1308.00","       1334.00","       1294.50","       1296.00","       1302.95","       1318.78","    8422763","         11107780248.70","     183002","    2254673","         26.77"
"TATASTEEL","EQ","22-Mar-2022","       1302.95","       1320.00","       1330.00","       1288.05","       1308.00","       1302.00","       1308.02","    8179588","         10699083341.20","     179422","    1453659","         17.77"
"TATASTEEL","EQ","23-Mar-2022","       1302.00","       1324.00","       1347.80","       1292.35","       1328.55","       1331.00","       1321.71","   13055238","         17255295796.55","     259263","    2457973","         18.83"
"TATASTEEL","EQ","24-Mar-2022","       1331.00","       1330.95","       1359.50","       1325.95","       1346.95","       1350.55","       1348.57","    9460527","         12758222562.20","     208902","    3201383","         33.84"
"TATASTEEL","EQ","25-Mar-2022","       1350.55","       1354.90","       1366.00","       1333.55","       1336.00","       1338.95","       1350.11","    6945744","          9377535055.20","     153608","    1599967","         23.04"
"TATASTEEL","EQ","28-Mar-2022","       1338.95","       1340.00","       1355.00","       1327.60","       1339.30","       1338.95","       1341.72","    4655491","          6246355569.25","     139045","     899147","         19.31"
"TATASTEEL","EQ","29-Mar-2022","       1338.95","       1344.00","       1346.15","       1327.00","       1332.00","       1334.65","       1335.58","    4320237","          5770018655.25","      94177","     937510","         21.70"
"TATASTEEL","EQ","30-Mar-2022","       1334.65","       1335.00","       1335.55","       1300.00","       1306.20","       1308.05","       1308.40","    5848316","          7651963500.35","     170961","    2151937","         36.80"
