"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","03-Jan-2022","       1790.55","       1795.05","       1818.00","       1783.00","       1783.15","       1784.80","       1794.14","    1779147","          3192043065.75","      90873","     742819","         41.75"
"TECHM","EQ","04-Jan-2022","       1784.80","       1793.00","       1803.80","       1767.00","       1783.00","       1789.80","       1785.35","    2701533","          4823179259.15","     118929","    1310967","         48.53"
"TECHM","EQ","05-Jan-2022","       1789.80","       1779.95","       1782.95","       1733.00","       1739.00","       1737.55","       1744.57","    3138050","          5474553213.25","     120760","    1571156","         50.07"
"TECHM","EQ","06-Jan-2022","       1737.55","       1725.00","       1728.85","       1690.00","       1694.00","       1692.10","       1701.19","    4290750","          7299389973.95","     147338","    2573882","         59.99"
"TECHM","EQ","07-Jan-2022","       1692.10","       1702.00","       1724.55","       1695.10","       1704.95","       1703.85","       1707.99","    2103362","          3592513287.65","      59360","    1028543","         48.90"
"TECHM","EQ","10-Jan-2022","       1703.85","       1719.00","       1725.00","       1687.50","       1719.00","       1716.00","       1711.75","    2330348","          3988982639.10","      88045","     951950","         40.85"
"TECHM","EQ","11-Jan-2022","       1716.00","       1705.00","       1745.00","       1705.00","       1744.50","       1737.15","       1730.61","    2704832","          4681012308.00","     124095","    1236860","         45.73"
"TECHM","EQ","12-Jan-2022","       1737.15","       1754.00","       1755.00","       1721.00","       1723.10","       1730.45","       1732.20","    3013194","          5219441935.90","     125704","    1825122","         60.57"
"TECHM","EQ","13-Jan-2022","       1730.45","       1730.00","       1748.90","       1701.80","       1722.65","       1718.80","       1724.47","    2768371","          4773977882.15","     115281","     933321","         33.71"
"TECHM","EQ","14-Jan-2022","       1718.80","       1714.50","       1746.80","       1696.50","       1736.40","       1737.75","       1721.11","    1889385","          3251839877.90","      80148","     761894","         40.32"
"TECHM","EQ","17-Jan-2022","       1737.75","       1732.95","       1751.00","       1720.00","       1720.50","       1722.40","       1733.30","    2522806","          4372791730.10","      70952","    1377333","         54.60"
"TECHM","EQ","18-Jan-2022","       1722.40","       1740.00","       1746.55","       1650.05","       1662.50","       1660.75","       1687.59","    4878369","          8232705980.35","     217885","    2175130","         44.59"
"TECHM","EQ","19-Jan-2022","       1660.75","       1663.10","       1676.60","       1627.55","       1671.35","       1670.10","       1648.27","    2610709","          4303141869.25","     108739","    1074991","         41.18"
