"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","03-Jan-2022","       2522.40","       2510.00","       2546.00","       2502.30","       2529.75","       2523.85","       2519.23","     921729","          2322049617.65","      51436","     320609","         34.78"
"TITAN","EQ","04-Jan-2022","       2523.85","       2525.00","       2594.95","       2524.40","       2582.00","       2583.00","       2553.90","    1037293","          2649140610.55","      61734","     341256","         32.90"
"TITAN","EQ","05-Jan-2022","       2583.00","       2576.00","       2608.00","       2560.10","       2574.00","       2576.15","       2584.75","    1244568","          3216893224.90","      71880","     500862","         40.24"
"TITAN","EQ","06-Jan-2022","       2576.15","       2540.00","       2601.35","       2538.45","       2595.95","       2595.90","       2576.30","    1130508","          2912530227.05","      64729","     502364","         44.44"
"TITAN","EQ","07-Jan-2022","       2595.90","       2630.00","       2687.25","       2562.35","       2571.00","       2572.70","       2624.29","    4625230","         12137947788.45","     182146","    1301383","         28.14"
"TITAN","EQ","10-Jan-2022","       2572.70","       2585.00","       2663.55","       2571.00","       2653.60","       2657.50","       2621.54","    1894316","          4966030269.45","      84856","     602739","         31.82"
"TITAN","EQ","11-Jan-2022","       2657.50","       2650.00","       2678.75","       2634.30","       2652.00","       2653.35","       2660.46","    1123968","          2990267804.30","      73780","     442474","         39.37"
"TITAN","EQ","12-Jan-2022","       2653.35","       2641.00","       2672.00","       2608.00","       2611.00","       2612.95","       2625.81","    1293999","          3397790891.35","      93222","     681896","         52.70"
"TITAN","EQ","13-Jan-2022","       2612.95","       2611.00","       2628.90","       2588.00","       2617.20","       2619.25","       2608.63","    1023670","          2670377135.80","      82625","     433925","         42.39"
"TITAN","EQ","14-Jan-2022","       2619.25","       2626.00","       2639.00","       2588.85","       2594.00","       2592.75","       2602.58","    1166457","          3035802991.05","      68573","     561068","         48.10"
"TITAN","EQ","17-Jan-2022","       2592.75","       2592.75","       2604.30","       2550.40","       2592.55","       2597.55","       2584.87","    1172956","          3031941630.60","      80705","     653333","         55.70"
"TITAN","EQ","18-Jan-2022","       2597.55","       2598.00","       2635.00","       2587.00","       2597.00","       2600.60","       2615.24","    1221314","          3194035241.00","      90987","     410636","         33.62"
"TITAN","EQ","19-Jan-2022","       2600.60","       2598.00","       2617.80","       2571.10","       2591.00","       2588.90","       2594.46","     629040","          1632017689.45","      50275","     228010","         36.25"
"TITAN","EQ","20-Jan-2022","       2588.90","       2597.00","       2610.00","       2550.00","       2567.00","       2564.30","       2579.12","    1215237","          3134244733.65","      62889","     673641","         55.43"
"TITAN","EQ","21-Jan-2022","       2564.30","       2548.00","       2561.90","       2505.00","       2525.00","       2528.15","       2528.81","    1457884","          3686711672.15","      69084","     752059","         51.59"
"TITAN","EQ","24-Jan-2022","       2528.15","       2520.00","       2522.55","       2376.00","       2403.00","       2403.05","       2427.01","    1411443","          3425589208.00","     110228","    1536164","         61.09"
"TITAN","EQ","25-Jan-2022","       2403.05","       2386.00","       2407.75","       2330.40","       2374.80","       2376.50","       2367.08","    2849686","          6745439510.45","     124774","    1713856","         60.14"
"TITAN","EQ","27-Jan-2022","       2376.50","       2327.00","       2360.40","       2260.00","       2313.00","       2310.05","       2296.30","    2460051","          5649014586.00","     173733","    1248279","         50.74"
"TITAN","EQ","28-Jan-2022","       2310.05","       2313.00","       2377.80","       2308.00","       2321.10","       2315.60","       2346.39","    1317407","          3091154304.25","      84716","     568219","         43.13"
"TITAN","EQ","31-Jan-2022","       2315.60","       2353.00","       2380.00","       2336.35","       2355.10","       2360.30","       2359.80","     900510","          2125022696.50","      70551","     412255","         45.78"
"TITAN","EQ","01-Feb-2022","       2360.30","       2378.80","       2442.10","       2358.95","       2436.05","       2431.80","       2393.37","    1246431","          2983171761.75","      80249","     388804","         31.19"
"TITAN","EQ","02-Feb-2022","       2431.80","       2451.00","       2477.90","       2441.75","       2468.00","       2464.00","       2460.71","    1144427","          2816107430.55","      67803","     445962","         38.97"
"TITAN","EQ","03-Feb-2022","       2464.00","       2480.50","       2506.55","       2417.00","       2464.00","       2474.95","       2475.84","    3883564","          9615070419.35","     184015","     822375","         21.18"
"TITAN","EQ","04-Feb-2022","       2474.95","       2510.00","       2520.00","       2430.00","       2465.00","       2471.15","       2474.02","    2718069","          6724548208.00","     131789","     864802","         31.82"
"TITAN","EQ","07-Feb-2022","       2471.15","       2480.00","       2498.15","       2388.00","       2404.85","       2409.20","       2431.35","    1119632","          2722213147.25","      69021","     339196","         30.30"
"TITAN","EQ","08-Feb-2022","       2409.20","       2418.40","       2465.00","       2400.90","       2442.00","       2443.65","       2435.13","    1524580","          3712547327.10","      98867","     554343","         36.36"
"TITAN","EQ","09-Feb-2022","       2443.65","       2465.00","       2495.00","       2456.05","       2487.00","       2484.80","       2481.87","     826261","          2050674075.65","      66348","     362984","         43.93"
"TITAN","EQ","10-Feb-2022","       2484.80","       2499.95","       2503.95","       2465.55","       2485.30","       2491.85","       2487.43","     788689","          1961807705.10","      57984","     385842","         48.92"
"TITAN","EQ","11-Feb-2022","       2491.85","       2480.00","       2480.00","       2421.25","       2438.65","       2442.25","       2444.04","    1030760","          2519214913.20","      66364","     550796","         53.44"
"TITAN","EQ","14-Feb-2022","       2442.25","       2380.00","       2423.00","       2351.25","       2396.75","       2398.00","       2402.40","     816491","          1961536759.70","      59633","     311750","         38.18"
"TITAN","EQ","15-Feb-2022","       2398.00","       2421.95","       2499.80","       2399.00","       2499.60","       2495.90","       2457.59","    1293933","          3179957622.45","      75877","     577893","         44.66"
"TITAN","EQ","16-Feb-2022","       2495.90","       2510.00","       2519.90","       2460.25","       2483.00","       2488.05","       2494.65","    1008929","          2516925335.25","      72189","     296266","         29.36"
"TITAN","EQ","17-Feb-2022","       2488.05","       2509.50","       2537.50","       2487.00","       2490.95","       2493.20","       2504.29","     960885","          2406338121.45","      56173","     254290","         26.46"
"TITAN","EQ","18-Feb-2022","       2493.20","       2479.30","       2499.50","       2460.80","       2491.00","       2488.95","       2486.69","     654373","          1627221028.05","      43119","     287801","         43.98"
"TITAN","EQ","21-Feb-2022","       2488.95","       2488.00","       2488.00","       2411.05","       2457.35","       2454.35","       2446.34","     788568","          1929103698.20","      42345","     165999","         21.05"
"TITAN","EQ","22-Feb-2022","       2454.35","       2377.00","       2457.00","       2377.00","       2448.00","       2450.10","       2427.48","     874150","          2121984736.15","      61053","     363180","         41.55"
"TITAN","EQ","23-Feb-2022","       2450.10","       2452.00","       2525.00","       2452.00","       2494.95","       2495.70","       2502.10","    2096198","          5244902816.85","     104451","     909891","         43.41"
"TITAN","EQ","24-Feb-2022","       2495.70","       2402.00","       2466.00","       2395.00","       2405.00","       2406.60","       2419.56","    1875086","          4536886733.70","     135683","     850510","         45.36"
"TITAN","EQ","25-Feb-2022","       2406.60","       2423.50","       2474.00","       2423.50","       2466.00","       2468.45","       2451.90","    1284338","          3149073022.30","      80706","     481784","         37.51"
"TITAN","EQ","28-Feb-2022","       2468.45","       2430.00","       2563.65","       2430.00","       2556.00","       2546.55","       2502.91","    2355891","          5896590347.25","     102680","    1278524","         54.27"
"TITAN","EQ","02-Mar-2022","       2546.55","       2550.00","       2604.80","       2524.35","       2590.00","       2592.65","       2579.86","    3536974","          9124910711.80","     116169","    1779676","         50.32"
"TITAN","EQ","03-Mar-2022","       2592.65","       2620.00","       2639.80","       2560.00","       2571.70","       2574.25","       2601.27","    2153478","          5601781258.65","      96827","    1207925","         56.09"
"TITAN","EQ","04-Mar-2022","       2574.25","       2565.00","       2565.00","       2430.00","       2440.20","       2441.00","       2496.24","    2652474","          6621203752.65","     125811","    1115927","         42.07"
"TITAN","EQ","07-Mar-2022","       2441.00","       2414.80","       2419.95","       2330.00","       2390.00","       2389.70","       2378.38","    1545686","          3676225559.65","     135662","     625636","         40.48"
